,北京,天津,河北,山西,内蒙,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
北京,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.000472176888358578,,,,,
天津,0.00347917927844168,0.0,,,,,,,,,0.0177818244342818,,0.00317588391733199,,,0.0123980893102634,,,,,0.00111955912908287,,,,,0.000382630812423898,,,0.000464212477821809,,0.0016299257697651
河北,0.0682805321382752,0.0205554773414948,0.0,0.00640785351323729,,0.0081687202954261,,,0.0055272526269939,0.0204411127554397,0.0740987541611195,,,0.00352635798025042,,0.018371804790591,,,0.0179566967771897,,0.00624603565500517,0.0125329315990927,0.0005365007223726,,0.0079861744843157,0.00115624327009668,,,0.00149922514037669,,
山西,0.174668193285526,0.0334975189907769,,0.0,,0.0140246953941369,,0.00763974209254799,0.124996193703887,0.0883642077093848,0.0984820958474719,0.0573214548295606,,0.0371658309151889,0.0058846157002813,0.0530163295417275,0.00331635819631999,0.0760283865626905,0.125013735345452,,0.0163340333563848,0.0866825895730176,0.0227020905869425,,0.131798010097998,0.00269872300714907,0.0848604306082894,,,0.0389784190623036,
内蒙,0.118709727030187,0.172383639174672,0.28242753991462,0.46273694244013,0.0,0.0464967562712793,,,0.106844776979584,0.0578830981811628,0.270000227420369,0.0689193367685545,0.0105555687246519,0.034734712808125,0.0102730281729896,0.148476551120834,,0.0716555703200784,0.272627894337764,0.0176594888525464,0.00628157943830627,0.0432370418805354,0.0459497499805239,0.257799110127074,0.0681516606423451,0.00444459319270977,0.1228592953282,0.0218759751368132,0.015036159033031,0.0217549300113553,
辽宁,0.0361140615179966,0.0185847865897868,,,,0.0,,,,,0.0309012369853311,,,,,0.0581005441233264,,0.0065410122277925,0.100788954543524,,0.00193064189461461,,,,0.0084490395165962,0.00111660101817122,0.0109803982293809,,,,
吉林,0.152226407929436,0.0421370126207228,0.0733350710181551,0.0928286306283778,0.0731582149607553,0.171560169571822,0.0,,0.0615473350402565,0.153136858597199,0.34321119689018,0.0430456107268716,0.0301598050868963,0.0551570181354209,0.0895160129567162,0.105838870763712,0.105505644992819,0.0697046195302168,0.161064416829616,0.0506598188734578,0.0517642736141302,0.102149219152292,0.0747993725392121,0.0568878847084432,0.0894314700598742,0.00794094149262887,0.12307986210616,0.0021673863140273,0.019070665162566,0.0363459627552995,0.0710925647319921
黑龙江,0.204461487938765,0.101502586563403,0.095336390273466,,0.010537553507518,0.10478784342843,0.032401421729501,0.0,0.0798547713465807,0.276717330344517,0.310797089564451,0.0784890121691104,0.110712926417175,0.0990970286124468,0.121095997113296,0.526250165878317,0.0185070341863985,0.0417741898002254,0.295971953774695,0.0899834561708972,0.073748050841929,0.277583263494645,0.0320620601673897,0.0245032910471567,0.0862549720354493,0.0123139325245461,0.0787962137468365,0.0217967516013811,0.0156229187555597,0.0050408872785235,0.0746438443350082
上海,0.0276011567662504,0.00438319209023844,,,,0.0124505683497679,,,0.0,0.0051602264687317,0.10467875526821,0.0111214851488119,,,,0.0249679442821476,,,0.0258717065250896,0.00576488847280422,0.00222105659401981,0.0081856493965915,0.0073251954480152,,0.0060934955779883,0.00167327384729573,,,0.00265016279975273,0.00290571208220834,
江苏,0.0252995063027156,0.0027939123575798,,,,0.0072367202706526,,,,0.0,0.0825379101107921,,,,,,,,0.0202504098207964,,0.00162763818934622,,0.0016476825523154,,,0.00126888017884404,,,0.000560672361928437,,
浙江,0.0126140576687096,,,,,,,,,,0.0,,,,,0.0287262907439072,,,,,,,,,,0.000806979632711796,,,,,
安徽,0.00629846027891862,0.00088847423243996,0.0278565140315505,,,0.001816628591799,,,,0.102825331911204,0.0167149530328148,0.0,,,,0.00430758326460209,,,0.0042560747254906,,0.00137377055055281,,,,,0.00045644909738655,,,0.000871744775302209,,
福建,0.0110363385623685,,0.0037574976142182,0.00089829124945494,,0.00313952289847368,,,0.00138332220088575,0.00039290861390693,0.0196895223837096,0.0052441272257817,0.0,0.0037241059275297,,0.0188950506246071,,,0.0420645778041315,,0.0016851689200995,,,,,0.000489460369698809,0.0248100427297051,0.00060501080270784,,,
江西,0.0165351351041783,0.00402965671475687,,,,0.016363467280585,,,0.00472456864457004,0.00531386045705565,0.0576092758120459,0.00065964111490948,,0.0,,0.0024030928581247,,,0.0127868230709555,,0.00389920581410317,0.0015108021453699,,,,0.000918927097291912,,,0.00142970207155224,,
山东,0.0287279688866139,0.00374902065679188,0.0080925027048587,,,0.00384754642397225,,,0.00945531286318435,0.0386333384807013,0.0443252968515481,0.0174357260166222,0.000784424943690675,0.016761776547988,0.0,0.0450688320639094,,0.0258119731912306,0.0581181800085733,0.00052283317800361,0.00185497513672227,0.00859469477186947,,,0.0036660007762283,0.00122777486556467,,0.00160487868147431,0.000508556558993319,0.00141241625602816,
河南,0.0094983728595859,,,,,,,,,0.0097262230386821,,,,,,0.0,,,,,0.00208235136255216,,,,0.0069140088597344,0.00168114165536511,,,0.00031525009953897,,
湖北,0.0235052668276772,0.00315994386493652,0.0133921298442033,,0.0030302835438528,0.00332325892417692,,,0.0136471215386426,0.035272391518541,0.0287996645548547,0.00808664331482267,0.00135982755581747,0.0383157360831534,0.0031854986193121,0.0280338177903784,0.0,,0.0483193578116184,,0.0119130595896943,0.00246712833529945,,,,0.000636464946355581,0.0234788091237271,,0.000354555442408071,,
湖南,0.0239471004719205,0.00596440536870784,0.00605794150884272,,,,,,0.0248024388328093,0.0366090416077777,0.109289986069635,0.0194457083550059,0.0048592881029751,0.0465987985271595,,0.029886374304644,0.0227794791100914,0.0,0.0446984950484383,0.0185823464676341,0.0214246656339768,0.0260838519673949,,0.000593391672645101,0.0193067826253288,0.00149076670993657,,0.0006930868741213,0.00908873866863771,,
广东,0.0047242701496339,0.00117816079099535,,,,,,,,,0.0245531339814004,,,,,0.0001012065244301,,,0.0,,,,,,0.0031386546919136,0.00133111375756325,,,0.000345880055122845,,
广西,0.0203137951822346,0.00511540519802989,0.00823897912591023,0.0328580189723811,,0.0185848106553913,,,,0.0143778241677185,0.0736787289858506,0.00255233680369956,0.00644197377843044,0.00891250111752596,,0.0156408791909205,0.00344230310726664,,0.0819415163887006,0.0,0.00176364669216775,,,,0.00848159004608643,0.0012396204304876,0.0133249040996736,0.00781639658237914,0.00233205529801727,,0.00516422154854353
海南,0.00157966183237427,,,,,,,,,,0.00257702883287664,,,,,,,,0.00546145394335492,,0.0,,,,,0.000198413858905521,0.0034688843614697,,,,
重庆,0.0154383033519039,0.00358600695186252,,,,0.0109642193234101,,,,0.0041918213323401,0.035862975618294,0.00194246198990994,0.00110763518802265,,,0.0021468037511808,,,0.0105425412260487,0.0215303565818293,0.00388620562528226,0.0,0.0055713394585364,,,0.000859577082105349,,0.0172335850872452,,,
四川,0.0161465769144241,0.00172344512558737,,,,0.0170484379483532,,,,,0.0211153071708529,0.00498746736183177,0.00243331512798337,0.00495656944564799,0.0002882262756815,0.0170423081513077,0.00101739797075856,0.0070707454207096,0.0283459080973736,0.0035547697866981,0.00305327888746714,,0.0,,,0.000802090598371216,0.0551608109113897,,0.00027909524413784,,
贵州,0.126844605421882,0.0339098242865634,0.0263085903707438,0.0212567584721769,,0.0411292520579958,,,0.017886686293771,0.129717739118667,0.11555305440364,0.0295432814542165,0.039497691354924,0.0225260241237772,0.0893803693227992,0.152083201549632,0.0137576396806039,,0.276331450753361,0.0240814514229609,0.0237381152777905,0.156590057361902,0.0260226559402104,0.0,,0.00272948200989239,0.0384366521470825,0.0036569782021062,0.00479606708527363,0.0314991534874295,0.697097417103696
云南,0.0151970738428697,0.00033936050683147,,,,,,,,0.0235866753112136,0.0280152944869385,0.00250905660746239,0.0111366326182842,0.0082446776692622,,,0.00726882104259025,,,,0.0079725424898256,0.0151453334047605,0.00336311594043226,0.0639792452798632,0.0,0.00273208635982743,,,0.00019810787430756,,
西藏,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
陕西,0.0567397836820356,0.0124491861595494,0.0148705143745044,,,,,,0.0186994347588817,0.0438809119406859,0.0422288376307914,0.0064931555741348,,0.0157682794291866,0.0207477775095767,0.0504212644435642,,0.0289502002796389,0.0612685281008835,,,0.0494287009713494,,,0.0749343109328041,0.00274821784307944,0.0,,,,
甘肃,0.00949499012463784,0.00069795278231168,0.00073795043795594,0.00240374602243045,,0.00227592079007581,,,0.0022198017661303,0.00122185562893841,0.0229344825205895,0.00250982436093479,,0.00106109690030361,,0.00591956768163154,6.90783300850502e-05,,0.0108206838847013,,0.00174922901850604,,0.0144185076511674,,0.00649302426833384,0.000454156448535063,0.0382629492386925,0.0,0.00204045786299187,,
青海,0.000873955937085748,,,0.00517334412957931,,0.00026419152618439,,,,,0.00476239830162789,,0.000330707255607445,,,,,,,,9.1845584164079e-05,3.211568622103e-05,,,,6.20625266459234e-05,0.00396988802216949,,0.0,,0.000734864180797889
宁夏,0.0330804522313032,0.00371451313948361,0.0098781221816374,,,0.00726091734594966,,,,0.0211864973242939,0.0637664598652834,0.00544492296822285,0.00114774175564,0.00950432934418104,,0.0285978336280151,0.00480332425886521,0.0169672501836184,0.0368914366998908,0.00450089369018016,0.00271911134245775,0.0105989454299425,0.0150746331317755,,0.0197044015300454,0.00153622861873671,0.0249171800815792,0.00413140716326002,0.00012455137717876,0.0,
新疆,0.0558933292922886,,0.0139680456702162,0.00536210416828442,0.0006664797863935,0.0130972595021956,,,0.0127234755950087,0.0237778147884842,0.054617976408288,0.0258926511094384,0.0322775405293526,0.0049899653649744,0.00420523220636438,0.0218075469216226,0.0143869051146558,0.0187697014534628,0.0428616423488686,,0.0175733885033053,0.0307036223326867,0.027681755492302,,0.0773871723464826,0.00889048976223521,0.0471731252212374,0.00879531788985602,,0.0178857546310142,0.0
